date_time,player_id,specialization_name
2020-01-22T22:20:10.336Z,pcfe7b3f,technician
2020-01-22T22:26:13.857Z,pcfe7b3f,sharpshooter
2020-02-15T00:14:03.431Z,pcfe7b3f,Demolitionist
2020-02-15T00:55:14.246Z,pcfe7b3f,flamethrower
2020-02-15T01:06:18.638Z,pcfe7b3f,flamethrower
2020-02-15T02:16:22.208Z,pcfe7b3f,sharpshooter
2020-02-15T09:48:41.032Z,pcfe7b3f,Demolitionist
2020-02-15T11:18:02.243Z,pcfe7b3f,sharpshooter
2020-02-15T14:15:26.315Z,pcfe7b3f,sharpshooter
2020-02-15T14:15:26.315Z,pcfe7b3f,Demolitionist
2020-02-15T14:21:00.099Z,pcfe7b3f,gunner
2020-02-15T14:27:33.250Z,pcfe7b3f,sharpshooter
2020-02-15T14:51:16.621Z,pcfe7b3f,Demolitionist
2020-02-15T18:22:16.680Z,pcfe7b3f,Demolitionist
2020-02-15T18:25:18.753Z,pcfe7b3f,Demolitionist
2020-02-15T18:25:49.142Z,pcfe7b3f,Demolitionist
2020-02-15T18:33:53.496Z,pcfe7b3f,sharpshooter
2020-02-15T19:00:39.049Z,pcfe7b3f,Demolitionist
2020-02-15T19:30:53.920Z,pcfe7b3f,sharpshooter
2020-02-15T19:51:33.260Z,pcfe7b3f,sharpshooter
2020-02-15T19:51:33.260Z,pcfe7b3f,Demolitionist
2020-02-15T15:49:32.079Z,pc7c9168,Demolitionist
2020-03-16T11:13:39.276Z,pc3a8d8d,sharpshooter
2020-03-16T19:01:43.852Z,pc9e2cb9,flamethrower
2020-03-16T19:02:14.377Z,pc9e2cb9,Demolitionist
2020-03-16T23:47:10.181Z,pcdf21ac,sharpshooter
2020-03-16T13:27:39.986Z,pcef315c,Demolitionist
2020-03-16T13:28:10.318Z,pcef315c,sharpshooter
2020-03-16T13:28:40.607Z,pcef315c,Demolitionist
2020-03-16T07:48:04.731Z,pcf66328,technician
2020-03-16T07:51:41.348Z,pcf66328,gunner
2020-03-16T01:16:07.654Z,pcf8c2e0,survivalist
2020-03-16T01:19:40.126Z,pcf8c2e0,technician
2020-03-16T18:37:40.350Z,pcf8c2e0,technician
2020-03-05T17:56:01.029Z,pcb0bbc7,survivalist
2020-03-05T17:57:22.898Z,pcf2c60a,sharpshooter
2020-03-05T21:13:11.512Z,pcf2c60a,Demolitionist
2020-03-05T19:32:29.565Z,pcfcbf49,sharpshooter
2020-03-05T09:35:09.775Z,pcfe7b3f,flamethrower
2020-03-05T09:38:11.456Z,pcfe7b3f,gunner
2020-03-05T12:22:24.727Z,pcfe7b3f,sharpshooter
2020-03-05T12:56:16.088Z,pcfe7b3f,Demolitionist
2020-03-05T13:04:20.516Z,pcfe7b3f,sharpshooter
2020-01-15T20:05:16.779Z,pcbdf42b,technician
2020-01-15T20:04:29.045Z,pcb7c633,technician
2020-01-15T05:11:31.325Z,pc489314,survivalist
2020-01-15T22:43:41.371Z,pc58f882,survivalist
2020-01-15T23:11:30.788Z,pc58f882,technician
2020-01-15T12:47:00.013Z,pcf66328,Demolitionist
2020-01-15T12:47:31.301Z,pcf66328,sharpshooter
2020-01-15T12:49:05.843Z,pcf66328,survivalist
2020-02-01T06:36:04.324Z,pc307983,Demolitionist
2020-02-01T06:56:13.850Z,pc307983,sharpshooter
2020-02-01T07:27:58.790Z,pc307983,Demolitionist
2020-02-01T07:28:29.006Z,pc307983,sharpshooter
2020-02-01T07:28:59.223Z,pc307983,technician
2020-02-01T07:29:29.430Z,pc307983,gunner
2020-02-01T07:29:29.430Z,pc307983,Demolitionist
2020-02-01T07:29:59.674Z,pc307983,sharpshooter
2020-02-01T07:32:31.361Z,pc307983,technician
2020-02-01T07:32:31.361Z,pc307983,gunner
2020-02-01T23:22:53.095Z,pca19121,sharpshooter
2020-02-01T23:41:59.614Z,pca19121,survivalist
2020-02-01T19:50:26.440Z,pcf28cf1,technician
2020-02-01T06:43:20.471Z,pc5ca414,Demolitionist
2020-02-01T16:16:13.408Z,pcfcbf49,sharpshooter
2020-02-01T15:58:03.826Z,pc1a80a5,Demolitionist
2020-03-01T09:03:12.214Z,pcca8000,flamethrower
2020-03-01T13:17:21.139Z,pc69b5a4,flamethrower
2020-03-01T16:07:35.102Z,pc9f6ec7,sharpshooter
2020-03-01T18:03:36.760Z,pc18e095,survivalist
2020-03-01T00:15:55.129Z,pcfe7b3f,sharpshooter
2020-03-01T01:20:35.095Z,pcfe7b3f,sharpshooter
2020-03-01T01:28:08.727Z,pcfe7b3f,Demolitionist
2020-03-01T01:37:12.522Z,pcfe7b3f,sharpshooter
2020-03-01T02:50:52.190Z,pcfe7b3f,sharpshooter
2020-03-01T18:23:58.214Z,pcfe7b3f,sharpshooter
2020-03-01T18:32:03.480Z,pcfe7b3f,Demolitionist
2020-03-01T20:17:40.983Z,pcfe7b3f,sharpshooter
2020-03-01T21:04:07.785Z,pcfe7b3f,Demolitionist
2020-03-01T21:08:09.683Z,pcfe7b3f,sharpshooter
2020-03-01T21:34:23.258Z,pcfe7b3f,gunner
2020-03-01T21:37:24.487Z,pcfe7b3f,Demolitionist
2020-03-01T22:49:58.597Z,pcfe7b3f,sharpshooter
2020-03-01T04:51:14.278Z,pc5376ff,survivalist
2020-03-01T11:30:23.826Z,pc5376ff,gunner
2020-03-01T13:20:40.240Z,pc5376ff,technician
2020-03-01T14:17:24.449Z,pc5376ff,gunner
2020-03-01T14:29:31.378Z,pc5376ff,survivalist
2020-03-01T14:33:03.869Z,pc5376ff,Demolitionist
2020-03-01T14:34:34.938Z,pc5376ff,technician
2020-03-09T11:55:02.758Z,pc6f0fdb,gunner
2020-03-09T11:55:02.758Z,pc6f0fdb,gunner
2020-03-09T07:01:55.315Z,pcf66328,sharpshooter
2020-03-09T04:39:47.705Z,pcb34db4,technician
2020-03-09T04:40:18.776Z,pcb34db4,Demolitionist
2020-03-09T04:40:18.776Z,pcb34db4,survivalist
2020-03-09T04:40:49.803Z,pcb34db4,gunner
2020-03-09T04:44:23.208Z,pcb34db4,gunner
2020-03-09T04:46:24.437Z,pcb34db4,gunner
2020-03-09T04:47:55.578Z,pcb34db4,survivalist
2020-03-09T04:48:57.733Z,pcb34db4,Demolitionist
2020-03-09T04:49:58.825Z,pcb34db4,Demolitionist
2020-03-09T04:50:29.863Z,pcb34db4,technician
2020-03-09T04:52:01.037Z,pcb34db4,sharpshooter
2020-03-09T05:03:40.410Z,pcb34db4,technician
2020-03-09T05:07:12.823Z,pcb34db4,technician
2020-03-09T05:11:48.408Z,pcb34db4,technician
2020-03-09T21:21:29.674Z,pcf8c2e0,technician
2019-12-21T17:35:01.111Z,pcfad1ec,sharpshooter
2019-12-21T09:45:58.140Z,pc8b82c1,Demolitionist
2019-12-21T14:18:44.747Z,pce264ef,Demolitionist
2019-12-21T14:19:15.482Z,pce264ef,sharpshooter
2019-12-21T14:19:46.138Z,pce264ef,survivalist
2019-12-21T14:20:16.832Z,pce264ef,sharpshooter
2019-12-21T18:29:49.411Z,pc8b82c1,sharpshooter
2019-12-21T23:58:57.633Z,pc41844a,Demolitionist
2019-12-21T13:27:16.784Z,pc9828de,Demolitionist
2019-12-21T15:21:45.941Z,pcb77ffa,survivalist
2019-12-21T15:23:48.026Z,pcb77ffa,sharpshooter
2019-12-21T03:48:42.501Z,pc0feed5,sharpshooter
2019-12-21T18:16:55.070Z,pc55c3f4,sharpshooter
2019-12-21T18:18:25.799Z,pc55c3f4,Demolitionist
2019-12-21T22:10:04.633Z,pc6fc649,Demolitionist
2019-12-21T22:10:35.373Z,pc6fc649,sharpshooter
